scheduler,run,CPU Utilization (%),Thermal Hotspots,Avg Isolation Time (ms)
CFSScheduler,1,0.0653125,77,81.06122448979592
CFSScheduler,2,0.076875,99,82.55319148936171
CFSScheduler,3,0.0809375,102,77.45614035087719
CFSScheduler,4,0.0675,69,79.68085106382979
CFSScheduler,5,0.071875,71,70.8
CFSScheduler,6,0.07125000000000001,68,75.35714285714286
CFSScheduler,7,0.073125,71,86.97826086956522
CFSScheduler,8,0.075625,106,82.0
CFSScheduler,9,0.0775,98,76.35185185185185
CFSScheduler,10,0.0715625,76,67.6938775510204
CFSScheduler,11,0.0715625,77,76.15789473684211
CFSScheduler,12,0.08156250000000001,99,85.03448275862068
CFSScheduler,13,0.07781249999999999,90,64.74509803921569
CFSScheduler,14,0.0671875,76,84.08888888888889
CFSScheduler,15,0.07593749999999999,89,72.42222222222222
CFSScheduler,16,0.07593749999999999,93,76.4074074074074
CFSScheduler,17,0.0721875,78,72.04255319148936
CFSScheduler,18,0.076875,87,84.3921568627451
CFSScheduler,19,0.073125,85,80.52272727272727
CFSScheduler,20,0.0765625,79,71.05660377358491
CFSScheduler,21,0.07437500000000001,73,85.86792452830188
CFSScheduler,22,0.0653125,74,70.15555555555555
CFSScheduler,23,0.078125,88,74.64285714285714
CFSScheduler,24,0.075625,97,77.2258064516129
CFSScheduler,25,0.0775,87,84.30357142857143
CFSScheduler,26,0.0703125,85,66.5
CFSScheduler,27,0.07843750000000001,87,85.88709677419355
CFSScheduler,28,0.0675,89,79.59322033898304
CFSScheduler,29,0.075,88,82.61818181818182
CFSScheduler,30,0.0765625,92,87.34
PriorityScheduler,1,0.08375,86,85.55319148936171
PriorityScheduler,2,0.08312499999999999,101,78.66101694915254
PriorityScheduler,3,0.076875,91,83.3125
PriorityScheduler,4,0.07437500000000001,77,75.2439024390244
PriorityScheduler,5,0.0884375,107,73.7
PriorityScheduler,6,0.0709375,74,73.59574468085107
PriorityScheduler,7,0.0796875,94,101.5
PriorityScheduler,8,0.075625,88,77.0
PriorityScheduler,9,0.076875,115,86.45
PriorityScheduler,10,0.0721875,71,79.94545454545455
PriorityScheduler,11,0.0865625,107,83.98305084745763
PriorityScheduler,12,0.0753125,83,69.86440677966101
PriorityScheduler,13,0.0746875,73,66.72222222222223
PriorityScheduler,14,0.0734375,89,75.51724137931035
PriorityScheduler,15,0.0740625,92,74.5
