scheduler,run,CPU Utilization (%),Thermal Hotspots,Avg Isolation Time (ms)
CFSScheduler,1,0.07734375,235,99.83233532934132
CFSScheduler,2,0.07203125,212,100.88
CFSScheduler,3,0.0740625,240,99.54385964912281
CFSScheduler,4,0.07781249999999999,235,95.90196078431373
CFSScheduler,5,0.06953125,186,93.76190476190476
CFSScheduler,6,0.06999999999999999,226,101.22068965517241
CFSScheduler,7,0.08453125,299,93.23780487804878
CFSScheduler,8,0.07421875,223,96.69714285714285
CFSScheduler,9,0.06796875,199,92.77922077922078
CFSScheduler,10,0.08015625,237,103.20744680851064
CFSScheduler,11,0.0746875,242,95.14906832298136
CFSScheduler,12,0.07453125,225,96.0421686746988
CFSScheduler,13,0.07875,251,91.73295454545455
CFSScheduler,14,0.070625,216,95.20714285714286
CFSScheduler,15,0.075,237,98.94545454545455
CFSScheduler,16,0.07718749999999999,222,97.09444444444445
CFSScheduler,17,0.079375,236,95.06976744186046
CFSScheduler,18,0.0725,243,93.19209039548022
CFSScheduler,19,0.07546875,227,96.17948717948718
CFSScheduler,20,0.075625,229,94.08759124087591
CFSScheduler,21,0.0653125,203,93.84285714285714
CFSScheduler,22,0.08015625,238,98.87741935483871
CFSScheduler,23,0.07359375,234,99.70666666666666
CFSScheduler,24,0.07625,244,92.2867132867133
CFSScheduler,25,0.0753125,225,92.40972222222223
CFSScheduler,26,0.07125000000000001,222,93.86740331491713
CFSScheduler,27,0.07625,230,92.02890173410404
CFSScheduler,28,0.0721875,217,93.8562874251497
CFSScheduler,29,0.07296875,237,94.6923076923077
CFSScheduler,30,0.07609375,251,102.60588235294118
PriorityScheduler,1,0.07984375,233,94.32941176470588
PriorityScheduler,2,0.07703125,241,99.28125
PriorityScheduler,3,0.0796875,234,93.65853658536585
PriorityScheduler,4,0.07671875,219,88.33552631578948
PriorityScheduler,5,0.07781249999999999,246,96.9281045751634
PriorityScheduler,6,0.06859375000000001,204,95.71686746987952
PriorityScheduler,7,0.075,248,101.84313725490196
PriorityScheduler,8,0.07437500000000001,239,87.91503267973856
PriorityScheduler,9,0.06874999999999999,211,88.6566265060241
PriorityScheduler,10,0.07781249999999999,247,93.56149732620321
PriorityScheduler,11,0.07843750000000001,238,96.50649350649351
PriorityScheduler,12,0.07453125,233,91.92073170731707
PriorityScheduler,13,0.07328124999999999,211,97.65317919075144
PriorityScheduler,14,0.07593749999999999,237,93.36526946107784
PriorityScheduler,15,0.07625,229,98.71724137931035
PriorityScheduler,16,0.08453125,244,97.73248407643312
PriorityScheduler,17,0.07890625000000001,204,97.12121212121212
PriorityScheduler,18,0.07859374999999999,244,87.57407407407408
PriorityScheduler,19,0.07328124999999999,233,96.43661971830986
PriorityScheduler,20,0.07546875,225,107.8041958041958
PriorityScheduler,21,0.07625,214,98.96913580246914
PriorityScheduler,22,0.08109375,244,95.53658536585365
PriorityScheduler,23,0.07546875,232,98.52201257861635
PriorityScheduler,24,0.07390625,233,95.74
PriorityScheduler,25,0.0721875,221,99.26760563380282
PriorityScheduler,26,0.069375,201,95.16564417177914
PriorityScheduler,27,0.0775,252,99.47976878612717
PriorityScheduler,28,0.08031250000000001,262,98.21686746987952
PriorityScheduler,29,0.07890625000000001,265,90.22784810126582
