scheduler,run,CPU Utilization (%),Thermal Hotspots,Avg Isolation Time (ms)
CFSScheduler,1,0.0753125,223,88.03030303030303
CFSScheduler,2,0.07390625,213,82.73504273504274
CFSScheduler,3,0.079375,251,91.27966101694915
CFSScheduler,4,0.07234375,242,85.57575757575758
CFSScheduler,5,0.07328124999999999,226,83.67826086956522
CFSScheduler,6,0.07671875,222,94.05633802816901
CFSScheduler,7,0.07796875,264,90.99270072992701
CFSScheduler,8,0.075,229,88.875
CFSScheduler,9,0.07593749999999999,205,88.14179104477611
CFSScheduler,10,0.0721875,224,84.07920792079207
CFSScheduler,11,0.078125,229,81.86153846153846
CFSScheduler,12,0.0715625,214,90.77037037037037
CFSScheduler,13,0.07421875,217,86.82644628099173
CFSScheduler,14,0.075625,238,86.87857142857143
CFSScheduler,15,0.07796875,227,90.83941605839416
CFSScheduler,16,0.076875,209,86.64827586206897
CFSScheduler,17,0.07859374999999999,238,88.03053435114504
CFSScheduler,18,0.07890625000000001,247,73.08823529411765
CFSScheduler,19,0.08,235,86.57246376811594
CFSScheduler,20,0.07546875,237,83.94214876033058
CFSScheduler,21,0.0746875,211,83.98412698412699
CFSScheduler,22,0.07546875,241,91.98319327731092
CFSScheduler,23,0.0703125,209,83.9776119402985
CFSScheduler,24,0.07859374999999999,235,82.42276422764228
CFSScheduler,25,0.07265625,210,80.73504273504274
CFSScheduler,26,0.07609375,226,85.65986394557824
CFSScheduler,27,0.0828125,267,99.27737226277372
CFSScheduler,28,0.0725,228,88.77966101694915
CFSScheduler,29,0.075625,223,89.69354838709677
CFSScheduler,30,0.075625,190,87.98165137614679
PriorityScheduler,1,0.07437500000000001,260,88.74242424242425
PriorityScheduler,2,0.07203125,192,87.95145631067962
PriorityScheduler,3,0.07125000000000001,210,98.248
PriorityScheduler,4,0.0696875,219,73.66666666666667
PriorityScheduler,5,0.07265625,209,79.816
PriorityScheduler,6,0.07421875,235,83.5912408759124
PriorityScheduler,7,0.07515625,217,93.24038461538461
PriorityScheduler,8,0.07265625,224,84.61832061068702
PriorityScheduler,9,0.07984375,233,80.1743119266055
PriorityScheduler,10,0.0775,230,90.15652173913044
PriorityScheduler,11,0.0746875,225,84.59292035398231
PriorityScheduler,12,0.07484375,234,84.34558823529412
PriorityScheduler,13,0.0753125,216,84.56410256410257
PriorityScheduler,14,0.07296875,231,87.43076923076923
PriorityScheduler,15,0.07796875,265,91.5944055944056
PriorityScheduler,16,0.07140624999999999,224,91.70769230769231
PriorityScheduler,17,0.0775,232,81.69014084507042
PriorityScheduler,18,0.07421875,206,88.76190476190476
PriorityScheduler,19,0.07265625,217,82.66115702479338
PriorityScheduler,20,0.06999999999999999,201,87.36697247706422
PriorityScheduler,21,0.07796875,252,87.82978723404256
PriorityScheduler,22,0.07578125000000001,216,82.09836065573771
PriorityScheduler,23,0.07734375,234,79.72388059701493
PriorityScheduler,24,0.07671875,236,94.53787878787878
PriorityScheduler,25,0.076875,251,85.91111111111111
PriorityScheduler,26,0.07515625,213,83.65648854961832
PriorityScheduler,27,0.07781249999999999,227,90.23188405797102
PriorityScheduler,28,0.07640625,244,91.3030303030303
PriorityScheduler,29,0.06828125,186,88.0625
PriorityScheduler,30,0.07203125,208,78.04918032786885
SingleACOScheduler,1,0.0775,63,92.41911764705883
SingleACOScheduler,2,0.07140624999999999,88,74.98245614035088
SingleACOScheduler,3,0.07515625,75,91.02307692307693
SingleACOScheduler,4,0.06890625,55,90.63636363636364
SingleACOScheduler,5,0.0715625,52,85.33070866141732
SingleACOScheduler,6,0.07234375,26,79.28703703703704
SingleACOScheduler,7,0.07703125,97,87.64666666666666
SingleACOScheduler,8,0.07484375,114,79.62037037037037
SingleACOScheduler,9,0.07671875,81,88.87272727272727
SingleACOScheduler,10,0.075625,59,74.87719298245614
SingleACOScheduler,11,0.0703125,84,80.43801652892562
SingleACOScheduler,12,0.075,68,95.21666666666667
SingleACOScheduler,13,0.07609375,81,80.92913385826772
SingleACOScheduler,14,0.07328124999999999,63,90.56716417910448
SingleACOScheduler,15,0.0740625,75,86.53333333333333
SingleACOScheduler,16,0.06765625,54,85.27272727272727
SingleACOScheduler,17,0.075625,51,83.80327868852459
SingleACOScheduler,18,0.07125000000000001,69,80.18656716417911
SingleACOScheduler,19,0.07390625,82,84.84782608695652
SingleACOScheduler,20,0.0775,42,87.20661157024793
SingleACOScheduler,21,0.0734375,47,83.78518518518518
SingleACOScheduler,22,0.07625,70,89.97916666666667
SingleACOScheduler,23,0.07296875,76,91.57522123893806
SingleACOScheduler,24,0.07484375,57,84.98529411764706
SingleACOScheduler,25,0.06984375,40,85.03100775193798
SingleACOScheduler,26,0.07421875,68,85.03401360544218
SingleACOScheduler,27,0.073125,78,78.16030534351145
SingleACOScheduler,28,0.0709375,66,90.93805309734513
SingleACOScheduler,29,0.07171875000000001,99,84.94262295081967
SingleACOScheduler,30,0.07296875,53,89.60740740740741
StigmergicSentinelsScheduler,1,0.0721875,49,79.26785714285714
StigmergicSentinelsScheduler,2,0.07375,45,89.5
StigmergicSentinelsScheduler,3,0.06828125,45,89.06106870229007
StigmergicSentinelsScheduler,4,0.073125,75,86.96521739130435
StigmergicSentinelsScheduler,5,0.07718749999999999,50,83.47169811320755
StigmergicSentinelsScheduler,6,0.07859374999999999,58,94.51020408163265
StigmergicSentinelsScheduler,7,0.07421875,67,90.36697247706422
StigmergicSentinelsScheduler,8,0.06874999999999999,45,86.80833333333334
StigmergicSentinelsScheduler,9,0.07265625,63,85.54347826086956
StigmergicSentinelsScheduler,10,0.08484375,85,87.88793103448276
StigmergicSentinelsScheduler,11,0.07453125,50,79.55284552845528
StigmergicSentinelsScheduler,12,0.07875,42,81.51162790697674
StigmergicSentinelsScheduler,13,0.07671875,78,91.38842975206612
StigmergicSentinelsScheduler,14,0.06734375,33,85.41747572815534
StigmergicSentinelsScheduler,15,0.0775,36,84.504
StigmergicSentinelsScheduler,16,0.07421875,72,88.2992125984252
StigmergicSentinelsScheduler,17,0.08703125,46,86.64444444444445
StigmergicSentinelsScheduler,18,0.07234375,55,82.67175572519083
StigmergicSentinelsScheduler,19,0.07593749999999999,88,88.30434782608695
StigmergicSentinelsScheduler,20,0.07796875,60,84.33557046979865
StigmergicSentinelsScheduler,21,0.07718749999999999,79,91.53153153153153
