scheduler,run,CPU Utilization (%),Thermal Hotspots,Avg Isolation Time (ms)
CFSScheduler,1,0.09062500000000001,52,79.3
CFSScheduler,2,0.0775,35,67.04347826086956
CFSScheduler,3,0.075625,36,89.69565217391305
CFSScheduler,4,0.081875,35,74.125
CFSScheduler,5,0.075,36,76.83333333333333
CFSScheduler,6,0.08875000000000001,42,87.18181818181819
CFSScheduler,7,0.0775,32,78.45833333333333
CFSScheduler,8,0.07375,27,76.72727272727273
CFSScheduler,9,0.075,39,80.54166666666667
CFSScheduler,10,0.078125,36,84.03448275862068
CFSScheduler,11,0.08499999999999999,38,69.06666666666666
CFSScheduler,12,0.0775,22,78.08333333333333
CFSScheduler,13,0.07625,41,83.92307692307692
CFSScheduler,14,0.07625,33,76.76190476190476
CFSScheduler,15,0.0775,36,77.30434782608695
CFSScheduler,16,0.07125000000000001,29,85.6842105263158
CFSScheduler,17,0.07625,38,73.33333333333333
CFSScheduler,18,0.06874999999999999,33,91.27272727272727
CFSScheduler,19,0.069375,32,73.8
CFSScheduler,20,0.07375,33,83.76470588235294
CFSScheduler,21,0.06625,34,72.9375
CFSScheduler,22,0.08375,47,82.1470588235294
CFSScheduler,23,0.065,30,81.41379310344827
CFSScheduler,24,0.07125000000000001,33,91.54166666666667
CFSScheduler,25,0.06999999999999999,29,60.65217391304348
CFSScheduler,26,0.075,32,73.20689655172414
CFSScheduler,27,0.075625,32,84.375
CFSScheduler,28,0.071875,27,77.75
CFSScheduler,29,0.06874999999999999,30,73.19047619047619
CFSScheduler,30,0.07625,40,96.03846153846153
PriorityScheduler,1,0.06999999999999999,27,75.06451612903226
PriorityScheduler,2,0.076875,30,72.875
PriorityScheduler,3,0.07437500000000001,41,65.13636363636364
PriorityScheduler,4,0.0725,37,72.1
PriorityScheduler,5,0.08750000000000001,44,92.29032258064517
PriorityScheduler,6,0.073125,39,69.08
PriorityScheduler,7,0.08,41,70.44444444444444
PriorityScheduler,8,0.0725,28,84.05
PriorityScheduler,9,0.076875,45,89.2258064516129
PriorityScheduler,10,0.06687499999999999,24,73.63333333333334
PriorityScheduler,11,0.085625,53,80.18181818181819
PriorityScheduler,12,0.063125,26,68.31818181818181
PriorityScheduler,13,0.07375,44,79.16666666666667
PriorityScheduler,14,0.075625,24,82.23809523809524
PriorityScheduler,15,0.079375,34,77.83333333333333
PriorityScheduler,16,0.071875,36,84.89655172413794
PriorityScheduler,17,0.06375,22,73.95833333333333
PriorityScheduler,18,0.0675,37,76.1923076923077
PriorityScheduler,19,0.0675,32,71.58333333333333
PriorityScheduler,20,0.0775,47,80.13333333333334
PriorityScheduler,21,0.0775,40,94.07692307692308
PriorityScheduler,22,0.070625,32,96.63157894736842
PriorityScheduler,23,0.08499999999999999,40,69.47826086956522
PriorityScheduler,24,0.07875,32,78.37931034482759
PriorityScheduler,25,0.081875,41,93.38888888888889
PriorityScheduler,26,0.079375,29,72.77777777777777
PriorityScheduler,27,0.081875,43,76.5
PriorityScheduler,28,0.07625,26,93.125
PriorityScheduler,29,0.06687499999999999,29,71.94444444444444
PriorityScheduler,30,0.078125,28,59.2962962962963
SingleACOScheduler,1,0.075625,18,61.793103448275865
SingleACOScheduler,2,0.07625,13,83.6470588235294
SingleACOScheduler,3,0.076875,23,71.47619047619048
SingleACOScheduler,4,0.084375,21,80.625
SingleACOScheduler,5,0.0775,13,82.12
SingleACOScheduler,6,0.073125,17,91.79166666666667
SingleACOScheduler,7,0.08875000000000001,25,76.25
SingleACOScheduler,8,0.07375,12,74.34782608695652
SingleACOScheduler,9,0.071875,12,71.58620689655173
SingleACOScheduler,10,0.06874999999999999,4,72.78947368421052
SingleACOScheduler,11,0.068125,15,77.79166666666667
SingleACOScheduler,12,0.071875,16,65.7
SingleACOScheduler,13,0.08,26,70.07407407407408
SingleACOScheduler,14,0.0725,11,72.10714285714286
SingleACOScheduler,15,0.08375,22,86.13333333333334
SingleACOScheduler,16,0.08375,11,93.1875
SingleACOScheduler,17,0.073125,7,73.51515151515152
SingleACOScheduler,18,0.071875,9,78.125
SingleACOScheduler,19,0.0825,18,74.5
SingleACOScheduler,20,0.0825,20,74.41666666666667
SingleACOScheduler,21,0.065625,18,59.21052631578947
SingleACOScheduler,22,0.06999999999999999,21,70.0
SingleACOScheduler,23,0.07625,18,91.75675675675676
SingleACOScheduler,24,0.0625,18,80.9375
SingleACOScheduler,25,0.0725,10,67.14285714285714
SingleACOScheduler,26,0.073125,11,64.80645161290323
SingleACOScheduler,27,0.086875,21,78.03125
SingleACOScheduler,28,0.071875,16,89.76923076923077
SingleACOScheduler,29,0.076875,14,75.37931034482759
SingleACOScheduler,30,0.08,23,76.13793103448276
StigmergicSentinelsScheduler,1,0.07875,20,72.48571428571428
StigmergicSentinelsScheduler,2,0.0825,11,90.65517241379311
StigmergicSentinelsScheduler,3,0.071875,10,77.91666666666667
StigmergicSentinelsScheduler,4,0.06687499999999999,11,88.25
StigmergicSentinelsScheduler,5,0.06625,13,67.32
StigmergicSentinelsScheduler,6,0.06874999999999999,11,64.94444444444444
StigmergicSentinelsScheduler,7,0.06375,10,64.6896551724138
StigmergicSentinelsScheduler,8,0.071875,19,79.1304347826087
StigmergicSentinelsScheduler,9,0.073125,18,82.5
StigmergicSentinelsScheduler,10,0.06999999999999999,14,78.03030303030303
StigmergicSentinelsScheduler,11,0.06999999999999999,15,74.30434782608695
StigmergicSentinelsScheduler,12,0.06625,10,80.42857142857143
StigmergicSentinelsScheduler,13,0.08,18,75.0
StigmergicSentinelsScheduler,14,0.071875,18,66.42105263157895
StigmergicSentinelsScheduler,15,0.065,13,78.4
StigmergicSentinelsScheduler,16,0.078125,18,92.11428571428571
StigmergicSentinelsScheduler,17,0.065625,11,73.33333333333333
StigmergicSentinelsScheduler,18,0.09062500000000001,12,86.0
StigmergicSentinelsScheduler,19,0.076875,19,73.5
StigmergicSentinelsScheduler,20,0.08750000000000001,13,74.72413793103448
StigmergicSentinelsScheduler,21,0.073125,20,91.25925925925925
StigmergicSentinelsScheduler,22,0.064375,14,72.11111111111111
StigmergicSentinelsScheduler,23,0.075,17,79.13793103448276
StigmergicSentinelsScheduler,24,0.076875,13,80.44117647058823
StigmergicSentinelsScheduler,25,0.080625,23,82.03225806451613
StigmergicSentinelsScheduler,26,0.075625,16,78.85185185185185
StigmergicSentinelsScheduler,27,0.07437500000000001,12,86.33333333333333
StigmergicSentinelsScheduler,28,0.08312499999999999,14,70.86206896551724
StigmergicSentinelsScheduler,29,0.075,10,81.96296296296296
StigmergicSentinelsScheduler,30,0.08375,16,69.02941176470588
