scheduler,run,CPU Utilization (%),Thermal Hotspots,Avg Isolation Time (ms)
CFSScheduler,1,0.08750000000000001,35,96.76315789473684
CFSScheduler,2,0.070625,37,85.03571428571429
CFSScheduler,3,0.078125,38,99.1923076923077
CFSScheduler,4,0.07437500000000001,39,98.23076923076923
CFSScheduler,5,0.08499999999999999,38,102.36111111111111
CFSScheduler,6,0.07375,23,91.42857142857143
CFSScheduler,7,0.07125000000000001,31,80.9375
CFSScheduler,8,0.06375,30,105.83333333333333
CFSScheduler,9,0.06999999999999999,33,82.9
CFSScheduler,10,0.071875,35,82.66666666666667
CFSScheduler,11,0.08,37,93.8108108108108
CFSScheduler,12,0.07375,37,88.2
CFSScheduler,13,0.08625,42,97.82857142857142
CFSScheduler,14,0.06874999999999999,26,88.78260869565217
CFSScheduler,15,0.07875,38,102.11111111111111
CFSScheduler,16,0.073125,32,85.875
CFSScheduler,17,0.07625,35,87.625
CFSScheduler,18,0.0725,36,91.35483870967742
CFSScheduler,19,0.0675,26,86.48275862068965
CFSScheduler,20,0.075625,32,84.93548387096774
CFSScheduler,21,0.081875,35,92.90243902439025
CFSScheduler,22,0.0825,41,91.44736842105263
CFSScheduler,23,0.071875,32,77.82758620689656
CFSScheduler,24,0.0725,30,85.25
CFSScheduler,25,0.065625,22,82.63333333333334
CFSScheduler,26,0.078125,45,77.17241379310344
CFSScheduler,27,0.08875000000000001,43,87.0
CFSScheduler,28,0.081875,43,80.88888888888889
CFSScheduler,29,0.091875,47,71.29729729729729
CFSScheduler,30,0.080625,35,90.72
PriorityScheduler,1,0.086875,49,76.76923076923077
PriorityScheduler,2,0.0725,40,95.35135135135135
PriorityScheduler,3,0.06999999999999999,34,75.04166666666667
PriorityScheduler,4,0.069375,27,70.64
PriorityScheduler,5,0.065625,24,77.90322580645162
PriorityScheduler,6,0.076875,44,91.5625
PriorityScheduler,7,0.089375,37,102.96666666666667
PriorityScheduler,8,0.07625,30,91.4074074074074
PriorityScheduler,9,0.070625,35,91.21739130434783
PriorityScheduler,10,0.078125,32,74.11904761904762
PriorityScheduler,11,0.07625,28,96.0625
PriorityScheduler,12,0.0775,32,89.63636363636364
PriorityScheduler,13,0.06999999999999999,27,88.3076923076923
PriorityScheduler,14,0.085625,43,91.11764705882354
PriorityScheduler,15,0.080625,48,79.15625
PriorityScheduler,16,0.078125,32,81.23529411764706
PriorityScheduler,17,0.085625,31,87.0
PriorityScheduler,18,0.078125,43,99.17857142857143
PriorityScheduler,19,0.073125,25,82.4
PriorityScheduler,20,0.076875,27,79.83783783783784
PriorityScheduler,21,0.075,32,82.69565217391305
