scheduler,run,CPU Utilization (%),Thermal Hotspots,Avg Isolation Time (ms)
CFSScheduler,1,0.140625,79,85.64285714285714
CFSScheduler,2,0.13875,66,81.37704918032787
CFSScheduler,3,0.16312500000000002,95,73.25373134328358
CFSScheduler,4,0.143125,72,87.12727272727273
CFSScheduler,5,0.141875,86,101.59183673469387
CFSScheduler,6,0.15687500000000001,99,92.41558441558442
CFSScheduler,7,0.14625,102,83.78787878787878
CFSScheduler,8,0.15,73,81.75438596491227
CFSScheduler,9,0.165,101,85.8157894736842
CFSScheduler,10,0.13625,65,92.95161290322581
CFSScheduler,11,0.149375,73,90.75
CFSScheduler,12,0.16062500000000002,94,90.56756756756756
CFSScheduler,13,0.16624999999999998,102,88.55072463768116
CFSScheduler,14,0.161875,101,90.5068493150685
CFSScheduler,15,0.14625,88,85.77941176470588
CFSScheduler,16,0.148125,93,82.1948051948052
CFSScheduler,17,0.15187499999999998,87,82.82608695652173
CFSScheduler,18,0.145,85,76.32786885245902
CFSScheduler,19,0.15187499999999998,88,81.61818181818182
CFSScheduler,20,0.14625,88,77.40983606557377
CFSScheduler,21,0.15625,90,87.84482758620689
CFSScheduler,22,0.15437499999999998,98,90.71929824561404
CFSScheduler,23,0.145625,83,81.22222222222223
CFSScheduler,24,0.15125,91,74.578125
CFSScheduler,25,0.15875,96,90.81666666666666
CFSScheduler,26,0.15125,105,91.40322580645162
CFSScheduler,27,0.161875,112,87.9076923076923
CFSScheduler,28,0.15375,96,92.46478873239437
CFSScheduler,29,0.141875,70,81.265625
CFSScheduler,30,0.15437499999999998,104,84.01408450704226
PriorityScheduler,1,0.144375,87,89.27586206896552
PriorityScheduler,2,0.15187499999999998,82,91.14285714285714
PriorityScheduler,3,0.158125,95,90.0
PriorityScheduler,4,0.12812500000000002,65,81.18518518518519
PriorityScheduler,5,0.158125,105,94.9
PriorityScheduler,6,0.165625,99,80.0909090909091
PriorityScheduler,7,0.15687500000000001,97,84.84745762711864
PriorityScheduler,8,0.1575,110,89.46969696969697
PriorityScheduler,9,0.16062500000000002,91,87.32394366197182
PriorityScheduler,10,0.144375,87,93.24137931034483
PriorityScheduler,11,0.13999999999999999,81,82.79411764705883
PriorityScheduler,12,0.1475,94,75.52702702702703
PriorityScheduler,13,0.16125,88,81.69491525423729
PriorityScheduler,14,0.16,99,84.29230769230769
PriorityScheduler,15,0.174375,112,86.66216216216216
PriorityScheduler,16,0.14625,95,90.38461538461539
PriorityScheduler,17,0.13875,80,81.31746031746032
PriorityScheduler,18,0.165625,102,94.83582089552239
PriorityScheduler,19,0.146875,75,82.88571428571429
PriorityScheduler,20,0.15687500000000001,105,98.07042253521126
PriorityScheduler,21,0.1625,87,92.98550724637681
PriorityScheduler,22,0.164375,112,92.53333333333333
PriorityScheduler,23,0.1625,108,89.96052631578948
PriorityScheduler,24,0.13999999999999999,94,80.0
PriorityScheduler,25,0.138125,77,83.77966101694915
PriorityScheduler,26,0.146875,84,87.66666666666667
PriorityScheduler,27,0.13625,86,92.20967741935483
PriorityScheduler,28,0.16062500000000002,93,83.01388888888889
PriorityScheduler,29,0.15375,81,87.6625
PriorityScheduler,30,0.145,83,94.125
SingleACOScheduler,1,0.145625,56,84.09859154929578
SingleACOScheduler,2,0.170625,77,78.81944444444444
SingleACOScheduler,3,0.150625,52,84.55932203389831
SingleACOScheduler,4,0.16875,88,93.9
SingleACOScheduler,5,0.14625,59,88.64285714285714
