scheduler,run,CPU Utilization (%),Thermal Hotspots,Avg Isolation Time (ms)
CFSScheduler,1,0.07140624999999999,211,87.95679012345678
CFSScheduler,2,0.0703125,224,98.80891719745223
CFSScheduler,3,0.07625,250,93.22289156626506
CFSScheduler,4,0.07781249999999999,234,98.48366013071896
CFSScheduler,5,0.07765625,248,96.3529411764706
CFSScheduler,6,0.07390625,233,97.29220779220779
CFSScheduler,7,0.07796875,223,92.40322580645162
CFSScheduler,8,0.0753125,228,95.33136094674556
CFSScheduler,9,0.07484375,210,90.10975609756098
CFSScheduler,10,0.07875,243,100.92857142857143
CFSScheduler,11,0.0678125,164,93.77622377622377
CFSScheduler,12,0.07718749999999999,231,90.64285714285714
CFSScheduler,13,0.07125000000000001,211,91.52201257861635
CFSScheduler,14,0.07859374999999999,239,100.8
CFSScheduler,15,0.07890625000000001,218,102.44571428571429
CFSScheduler,16,0.07640625,235,96.74691358024691
CFSScheduler,17,0.07890625000000001,230,102.58888888888889
CFSScheduler,18,0.0740625,221,98.33333333333333
CFSScheduler,19,0.07765625,231,97.04848484848485
CFSScheduler,20,0.0746875,212,94.34177215189874
CFSScheduler,21,0.07718749999999999,242,103.51923076923077
CFSScheduler,22,0.07437500000000001,216,96.03614457831326
CFSScheduler,23,0.07421875,235,95.28846153846153
CFSScheduler,24,0.07843750000000001,245,94.96774193548387
CFSScheduler,25,0.07375,219,94.4320987654321
CFSScheduler,26,0.075,239,90.8688524590164
CFSScheduler,27,0.08046874999999999,246,107.2516129032258
CFSScheduler,28,0.07375,220,95.3125
CFSScheduler,29,0.07421875,210,90.11111111111111
CFSScheduler,30,0.075625,254,92.87037037037037
PriorityScheduler,1,0.07234375,213,95.28915662650603
PriorityScheduler,2,0.0671875,216,97.05555555555556
PriorityScheduler,3,0.08499999999999999,265,94.52150537634408
PriorityScheduler,4,0.070625,219,99.56028368794327
PriorityScheduler,5,0.0709375,193,97.04624277456648
PriorityScheduler,6,0.0765625,242,100.56395348837209
PriorityScheduler,7,0.07703125,228,87.74358974358974
PriorityScheduler,8,0.07578125000000001,227,97.72077922077922
PriorityScheduler,9,0.07578125000000001,212,94.1829268292683
PriorityScheduler,10,0.07437500000000001,201,88.43396226415095
PriorityScheduler,11,0.07593749999999999,213,89.26388888888889
PriorityScheduler,12,0.0796875,259,101.03296703296704
PriorityScheduler,13,0.075625,223,101.73758865248227
PriorityScheduler,14,0.073125,207,92.1907894736842
PriorityScheduler,15,0.0734375,212,99.60240963855422
PriorityScheduler,16,0.07781249999999999,246,99.71126760563381
PriorityScheduler,17,0.06765625,203,96.25
PriorityScheduler,18,0.0825,265,96.28571428571429
PriorityScheduler,19,0.07484375,234,95.73913043478261
PriorityScheduler,20,0.07375,220,90.66459627329192
PriorityScheduler,21,0.0765625,234,99.04109589041096
PriorityScheduler,22,0.0740625,254,99.67567567567568
PriorityScheduler,23,0.07437500000000001,229,95.47586206896551
PriorityScheduler,24,0.07671875,216,99.15189873417721
PriorityScheduler,25,0.0715625,234,97.4551282051282
PriorityScheduler,26,0.0775,255,99.53529411764706
PriorityScheduler,27,0.075625,219,103.85185185185185
PriorityScheduler,28,0.07484375,235,100.85034013605443
PriorityScheduler,29,0.0728125,221,99.88235294117646
PriorityScheduler,30,0.07515625,232,92.51219512195122
SingleACOScheduler,1,0.07375,70,98.2874251497006
SingleACOScheduler,2,0.08,80,96.75739644970415
SingleACOScheduler,3,0.06625,60,98.3587786259542
SingleACOScheduler,4,0.0725,76,85.55625
SingleACOScheduler,5,0.07296875,50,94.75483870967741
SingleACOScheduler,6,0.07203125,54,100.31944444444444
SingleACOScheduler,7,0.07328124999999999,59,93.48322147651007
SingleACOScheduler,8,0.07046875,62,97.12162162162163
SingleACOScheduler,9,0.07578125000000001,73,91.36111111111111
SingleACOScheduler,10,0.07328124999999999,65,91.06586826347305
SingleACOScheduler,11,0.0728125,59,93.5776397515528
SingleACOScheduler,12,0.07453125,74,100.6258064516129
SingleACOScheduler,13,0.07781249999999999,88,97.82634730538922
SingleACOScheduler,14,0.07734375,102,97.22651933701657
SingleACOScheduler,15,0.0765625,72,90.09433962264151
SingleACOScheduler,16,0.0728125,82,96.20481927710843
SingleACOScheduler,17,0.07015625,23,97.51408450704226
SingleACOScheduler,18,0.073125,68,109.125
SingleACOScheduler,19,0.0740625,42,97.67857142857143
SingleACOScheduler,20,0.075625,73,96.38311688311688
SingleACOScheduler,21,0.0721875,81,96.32051282051282
SingleACOScheduler,22,0.07203125,59,92.67832167832168
SingleACOScheduler,23,0.0740625,69,93.73426573426573
SingleACOScheduler,24,0.078125,81,88.94475138121547
SingleACOScheduler,25,0.07609375,63,102.42142857142858
SingleACOScheduler,26,0.0678125,38,88.31168831168831
SingleACOScheduler,27,0.07296875,49,88.79661016949153
SingleACOScheduler,28,0.0796875,75,95.91812865497076
SingleACOScheduler,29,0.08078125,82,91.78443113772455
SingleACOScheduler,30,0.07984375,83,95.03680981595092
StigmergicSentinelsScheduler,1,0.0728125,34,98.87333333333333
StigmergicSentinelsScheduler,2,0.0725,70,97.57792207792208
StigmergicSentinelsScheduler,3,0.070625,57,93.31875
StigmergicSentinelsScheduler,4,0.08234375,62,96.75886524822695
StigmergicSentinelsScheduler,5,0.07671875,36,95.30061349693251
StigmergicSentinelsScheduler,6,0.0765625,65,93.80128205128206
StigmergicSentinelsScheduler,7,0.075,55,98.89655172413794
StigmergicSentinelsScheduler,8,0.07265625,38,85.38194444444444
StigmergicSentinelsScheduler,9,0.07375,45,92.79591836734694
StigmergicSentinelsScheduler,10,0.073125,82,96.98285714285714
StigmergicSentinelsScheduler,11,0.07421875,71,100.99465240641712
StigmergicSentinelsScheduler,12,0.07078125,54,96.57894736842105
StigmergicSentinelsScheduler,13,0.07546875,34,96.42424242424242
StigmergicSentinelsScheduler,14,0.07234375,58,97.48920863309353
StigmergicSentinelsScheduler,15,0.07265625,56,96.16
StigmergicSentinelsScheduler,16,0.07265625,59,88.63905325443787
StigmergicSentinelsScheduler,17,0.07171875000000001,37,94.18300653594771
StigmergicSentinelsScheduler,18,0.075625,67,91.55223880597015
StigmergicSentinelsScheduler,19,0.07109375,22,95.67114093959732
StigmergicSentinelsScheduler,20,0.07328124999999999,50,99.25925925925925
StigmergicSentinelsScheduler,21,0.07703125,54,98.48550724637681
StigmergicSentinelsScheduler,22,0.07046875,44,106.02013422818791
StigmergicSentinelsScheduler,23,0.06984375,63,98.48993288590604
StigmergicSentinelsScheduler,24,0.073125,67,98.66197183098592
StigmergicSentinelsScheduler,25,0.071875,55,101.36969696969697
StigmergicSentinelsScheduler,26,0.07578125000000001,36,93.55405405405405
StigmergicSentinelsScheduler,27,0.07593749999999999,61,91.02185792349727
StigmergicSentinelsScheduler,28,0.07578125000000001,34,85.53125
StigmergicSentinelsScheduler,29,0.07421875,80,95.61676646706587
StigmergicSentinelsScheduler,30,0.07296875,49,108.375
